platform,property_id,title,description,price_etb,subcity,sq_m,bedrooms,bathrooms,is_furnished,url
beten,1152,Apartment,"በጣም አስቸኳይ አፓርትመንት ክራይ 🤏
          🚘:-በቂ መኪና ማቆሚያ አለው
• :-3ኛ-------- ----ፍሎር ላይ
•:-ለመንገድ በጣም ቅርብ ነዉ 
•ትንሽ ድርድር-------------አለው",52000.0,Other,200.0,2.0,2.0,False,
beten,1127,Apartment,"በማራኪ አጨራረስ የተገነባ G+2
የሚከራይ ቤት @አ.አ,  አያት 72 መኝታ ቤት 3 መታጠቢያ 2 ሰፌ ሳሎን  2 ማብሰያ/ኪችን በጣም ሰፊ  #open kitchen # close kitchen 
2 መኪና ሜቆሚያ ቦታ ያለው #ከዋናው መንገድ በጣም ቅርብ እርቀት ላይ የሚገኝ",60000.0,Yeka,144.0,4.0,3.0,False,
beten,1073,Apartment,የሚከራይ ገስትሀውስ ሞደር ሣሎን  open kitchen ቴራስ  5 መኝታ ቤት  1bath room እስቲም እና ጃኩዚ ያለው ሲሆን ተጨማሪ 1 and 1\2 ኖርማል ባዝ ሩም ፣ኢንተርኔት፣ 11000የውሃ ሮቶ ውሃ ማጠራቀሚያ ያለው ፣የልብስ ማጠቢያ ማሽን፣ ሙሉ የቤት እቃዎች ያለው ።ቦታው ሰሚት      ቤቱን ለመጉብኘት ቀድመው ቀጠሮ አስይዘው ነው,110000.0,Yeka,250.0,5.0,3.0,False,
beten,1069,Villa Houses,"የሚከራይ  ቤት ባስቸኳይ  አያት አደባባይ  
ካሬ  500 G+1  ከኋላ ሙሉ ሠርቢስ አለዉ።
ዋጋ60 ሺ ብር እንዳያመልጥዎ",60000.0,Yeka,500.0,0.0,0.0,False,
beten,1042,Guest Houses,"well Furnished apartment that has open kitchen, store, parking, 3 elevator, generator, fire alarm system, stove, refrigerator, amazing view , washing machine, 24/7 security.",120000.0,Other,120.0,3.0,3.0,True,
beten,1041,Apartment,Luxury apartments for rent  Parking more enough,30000.0,Other,220.0,2.0,2.0,False,
beten,1017,Residence Building,አስቸኳይ የሚከራይ ዘመናዊ የሆነ G+2 ቤት 22 ኮምፖውንድ ውስጥ ለNGO ተከራይቶ የነበረ፣ 13 ክፍል ፣ 4 ሰርቪስ ፣ 2መኪና ማቆሚያ፣ ጣራው ላይ መዝናኛ ያለው፣ ለመኖሪያ የሚሆን,150000.0,Bole,260.0,5.0,3.0,False,
beten,874,Guest Houses,"ገስት ሀውስ ኪራይ
በጥሩ ሁኔታ የተሰራ፣ ቤቱ ሁሉ ነገር የተሟላለት፣ ከዋናዉ መንገድ ገባ ብሎ፣ ለመኖሪያ ምቹ የሆነ፣ መኪና ማቆሚያ ያለዉ፣ ውሀ እጥረት አያሳስቦትም፣ 
ሻንጣዎን ብቻ ይዘዉ ይግቡ፡ ሃያት ሃይሌ ገብረስላሴ መንደር",80000.0,Other,94.0,5.0,3.0,False,
beten,865,Apartment,"➖:አስቸኳይ የሚከራይ አፓርታማ @አዲስ አበባ

  •፡ቦታ  —-—ሀያ ሁለት አከባቢ 
  •፡-የተሟላ ——— እቃ አለው 

  •፡-ካሬ———150 
  •፡-1ኛ——— ፍሎር ላይ 
  •:-1———--Open ኪችን አለው 
•፡-በጣም ማራኪ እይታ አለው 


        💰:-ዋጋ————2100 መቶ ዶላር",111000.0,Other,150.0,3.0,2.0,False,
beten,838,Apartment,"8ኛ ፍሎር ላይ @አድስ አበባ
🗣:—ፈጣን ----ሊፍት አለው 
🗣:—የተሟላ የቤት እቃ አለው 

•፡ቦታ—ቦሌ አትላስ አከባቢ 

•:-ማራኪ አፓርትመንት 
🚘—በቂ መኪና ማቆምያ አለው",106000.0,Bole,150.0,3.0,2.0,False,
beten,837,Apartment,"2ኛ ፍሎር ላይ @አድስ አበባ
🗣:—ፈጣን ----ሊፍት አለው 
🗣:———ይከራያል ———
🗣:—የተሟላ የቤት እቃ አለው 

•፡ቦታ—ቦሌ አትላስ አከባቢ 


•:-ማራኪ አፓርትመንት 
🚘—በቂ መኪና ማቆምያ አለው",106000.0,Bole,140.0,3.0,2.0,False,
beten,835,Apartment,"ግራውንድ ላይ ነዉ @አድስ አበባ
🗣:—በጣም ----አስቸኳይ ይከራያል 
🗣:—የተሟላ ----የቤት እቃ አለው 

•፡ቦታ—መገናኛ ሾላ መብራት አከባቢ 
•:-ማራኪ አፓርትመንት 
🚘——2—መኪና ማቆምያ አለው",80000.0,Yeka,140.0,3.0,2.0,False,
beten,834,Apartment,"12ኛ ፍሎር ላይ @አድስ አበባ
🗣:—ፈጣን ----ሊፍት አለው 
🗣:—የተሟላ የቤት እቃ አለው 

•፡ቦታ—ቦሌ ኤድናሞል አከባቢ 


•:-ማራኪ አፓርትመንት 
🚘—በቂ መኪና ማቆምያ አለው",160000.0,Bole,150.0,3.0,2.0,False,
beten,826,Villa Houses,"በጣም አስቸኳይ ኪራይ @አድስ አበባ

•፡—ቦታ—ቦሌ ወሎ ሰፈር ቅንጡ ቤት 
•፡—1500———ካሬ 
:—ግራውንድ—— ቪላ
•፡—ለመኖሪያ የምሆን ሳይት
•፡—በቂ ———-ጋርዳን አለው 
🚘——10—መኪና ማቆምያ አለው 

💰————8000 ዶላር 
•:———— ድርድር  አለው",424000.0,Bole,1500.0,4.0,5.0,False,
beten,807,Apartment,ገስት ሃውስ የሚከራይ ለ ዋና መንገድ ቅርብ  የሆነ  100 ሜተር ገባ ብሎ  1ኛ ፍሎር ላይ  ጥበቃ ያለው ለመኖሪያ ምቹ የሆነ,70000.0,Other,105.0,3.0,2.0,False,
beten,784,Villa Houses,"የሚከራይ  ሰሚት 
      ፍየል ቤት አካባቢ
  የአስፓልት ግልባጭ",50000.0,Yeka,94.0,4.0,3.0,False,
beten,775,Others,አስፋልት ዳር የሆነ ሽንት ቤቶች እና ቢሮዎች ያሉት እንዲሁም እስቶር እና ኪችን ያለው,30000.0,Bole,300.0,0.0,0.0,False,
beten,757,Service House,ባለቤቱ እብሮ ይኖራል፡፡ በጥሩ ሁኔታ የተሰራ፣ ለልጆች ምቹ ሰፈረ፣ ከአስፓልት ቅርብ,6000.0,Other,55.0,1.0,1.0,False,
beten,677,Service House,"👉 ኪራይ ኤል ቪላ
##👉 ቦታ አያት አይረ መንገድ ጀረባ
አይተው የሚወዱት",15500.0,Yeka,94.0,3.0,1.0,False,
beten,637,Villa Houses,የሚከራይ ቤት አያት ክብር ዳመና🍀                                                                                                                                                                                                                                                                                 3 መኪና የሚይስቆም,50000.0,Yeka,250.0,6.0,3.0,False,
beten,613,Apartment,"Luxury Apartment for Rent @Addis Aaba  👈

✔️At the center of Semit around


✔️On the ➖➖➖➖ground

The kitchen has a built-in wardrobe

✔️It has __a garden

🩸It is in the compound and has 24 hours security",45000.0,Other,146.0,2.0,2.0,False,
beten,608,Condominium,"ካሬ 59
1ሳሎን 
1መኝታ 
1መፀዳጃ 
ዋጋ 35000
0909614815",35000.0,Other,59.0,1.0,1.0,False,
beten,593,Guest Houses,አያት አካባቢዉ  ባስቸኳይ ለኪራይ  የቀረበ  ገስታዉስ  ከነ መኪናዉ,90000.0,Yeka,150.0,5.0,5.0,False,
beten,544,Rental comercial building,"የሚከራይ አፓርትመንት 
ሙሉ  አፓርትመንት 
ለተለያዩ ቢሮዎች 
350 ካሬ
ቤዝመንት አለው 
ዋጋ 400 ሽህ ብር አያት",400000.0,Yeka,350.0,,,False,
beten,534,Apartment,"Urgent Luxury 40/60 

♻️Fully Furnished 


🪀———Great view of Addis from above
🪀———Very attractive and desirable neighborhood",80000.0,Other,100.0,2.0,2.0,True,
